
====== Step 1 ======
[GPU 0] Task=copy_model           | Batch=6 UBatch=0 | Partition=0 Target=False | StartTime=1775005446.249255 | Wall=1.81 ms | CUDA=1.75 ms | ExecWall=1.81 ms | QWait=0.00 ms | SyncWait=337.94 ms | InjectedSleep=0.00 ms | Mem=666.83 MB | MaxMem=10157.09 MB | GpuUtil=92% | Power=179.60/300.00W
[GPU 0] Task=compute_forward      | Batch=6 UBatch=0 | Partition=0 Target=True | StartTime=1775005445.905985 | Wall=346.24 ms | CUDA=346.20 ms | ExecWall=346.24 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=592.83 MB | MaxMem=10157.09 MB | GpuUtil=92% | Power=179.60/300.00W
[GPU 0] Task=compute_forward      | Batch=6 UBatch=0 | Partition=0 Target=False | StartTime=1775005446.264407 | Wall=67.31 ms | CUDA=67.28 ms | ExecWall=67.31 ms | QWait=0.01 ms | SyncWait=61.49 ms | InjectedSleep=0.00 ms | Mem=9804.89 MB | MaxMem=10157.09 MB | GpuUtil=96% | Power=179.60/300.00W
[GPU 0] Task=copy_batch_out       | Batch=6 UBatch=0 | Partition=0 Target=True | StartTime=1775005446.336387 | Wall=87.01 ms | CUDA=86.97 ms | ExecWall=87.01 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=9804.89 MB | MaxMem=10157.09 MB | GpuUtil=96% | Power=192.26/300.00W
[GPU 0] Task=copy_batch_out       | Batch=6 UBatch=0 | Partition=0 Target=False | StartTime=1775005446.429533 | Wall=1.35 ms | CUDA=1.19 ms | ExecWall=1.34 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=9706.39 MB | MaxMem=10157.09 MB | GpuUtil=96% | Power=192.26/300.00W
[GPU 0] Task=copy_grad            | Batch=6 UBatch=0 | Partition=0 Target=False | StartTime=1775005446.248929 | Wall=1520.16 ms | CUDA=1520.08 ms | ExecWall=3.68 ms | QWait=1516.48 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=9706.39 MB | MaxMem=10157.09 MB | GpuUtil=0% | Power=103.57/300.00W
[GPU 0] Task=compute_backward     | Batch=6 UBatch=0 | Partition=0 Target=False | StartTime=1775005446.334910 | Wall=1556.78 ms | CUDA=1556.73 ms | ExecWall=1556.78 ms | QWait=0.00 ms | SyncWait=113.53 ms | InjectedSleep=0.00 ms | Mem=501.99 MB | MaxMem=10157.09 MB | GpuUtil=45% | Power=108.63/300.00W
[GPU 0] Task=compute_optimize     | Batch=6 UBatch=0 | Partition=0 Target=False | StartTime=1775005447.902512 | Wall=9.78 ms | CUDA=9.73 ms | ExecWall=9.78 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=568.33 MB | MaxMem=10157.09 MB | GpuUtil=45% | Power=108.63/300.00W

====== Step 7 ======
[GPU 0] Task=copy_batch           | Batch=7 UBatch=0 | Partition=0 Target=True | StartTime=1775005447.837562 | Wall=54.77 ms | CUDA=23.33 ms | ExecWall=54.77 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=501.99 MB | MaxMem=10157.09 MB | GpuUtil=45% | Power=108.63/300.00W
[GPU 0] Task=copy_batch           | Batch=7 UBatch=0 | Partition=0 Target=False | StartTime=1775005447.904560 | Wall=26.37 ms | CUDA=26.32 ms | ExecWall=26.37 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=568.33 MB | MaxMem=10157.09 MB | GpuUtil=45% | Power=108.63/300.00W
[GPU 0] Task=copy_model           | Batch=7 UBatch=0 | Partition=0 Target=True | StartTime=1775005447.934771 | Wall=4.50 ms | CUDA=2.15 ms | ExecWall=4.50 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=1365.33 MB | MaxMem=10157.09 MB | GpuUtil=45% | Power=108.63/300.00W
