
====== Step 1 ======
[GPU 0] Task=copy_model           | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1775109869.783576 | Wall=18.02 ms | CUDA=8.98 ms | ExecWall=18.02 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=152.12 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.41/300.00W
[GPU 0] Task=compute_forward      | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1775109869.804016 | Wall=2.58 ms | CUDA=2.54 ms | ExecWall=2.57 ms | QWait=0.00 ms | SyncWait=1.31 ms | InjectedSleep=0.00 ms | Mem=446.12 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.41/300.00W
[GPU 0] Task=copy_batch_out       | Batch=5 UBatch=0 | Partition=0 Target=True | StartTime=1775109869.808995 | Wall=7.02 ms | CUDA=6.99 ms | ExecWall=7.02 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=446.12 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.41/300.00W
[GPU 0] Task=copy_batch_out       | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1775109869.819430 | Wall=1.03 ms | CUDA=0.90 ms | ExecWall=1.03 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=421.49 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.41/300.00W
[GPU 0] Task=copy_grad            | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1775109869.802509 | Wall=734.06 ms | CUDA=734.00 ms | ExecWall=0.15 ms | QWait=733.91 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=421.49 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W
[GPU 0] Task=compute_backward     | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1775109869.809844 | Wall=735.35 ms | CUDA=735.29 ms | ExecWall=735.35 ms | QWait=0.00 ms | SyncWait=6.56 ms | InjectedSleep=0.00 ms | Mem=127.53 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W
[GPU 0] Task=compute_optimize     | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1775109870.551653 | Wall=1.94 ms | CUDA=1.77 ms | ExecWall=1.94 ms | QWait=0.00 ms | SyncWait=0.05 ms | InjectedSleep=0.00 ms | Mem=127.49 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W

====== Step 6 ======
[GPU 0] Task=copy_batch           | Batch=6 UBatch=0 | Partition=0 Target=True | StartTime=1775109870.542802 | Wall=1.34 ms | CUDA=1.29 ms | ExecWall=1.34 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=231.65 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W
[GPU 0] Task=copy_model           | Batch=6 UBatch=0 | Partition=0 Target=True | StartTime=1775109870.552821 | Wall=1.02 ms | CUDA=0.75 ms | ExecWall=1.02 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=127.49 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W
[GPU 0] Task=copy_model           | Batch=6 UBatch=0 | Partition=0 Target=False | StartTime=1775109870.558590 | Wall=0.60 ms | CUDA=0.55 ms | ExecWall=0.60 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W
[GPU 0] Task=copy_batch           | Batch=6 UBatch=0 | Partition=0 Target=False | StartTime=1775109870.554441 | Wall=1.94 ms | CUDA=1.90 ms | ExecWall=1.94 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W
[GPU 0] Task=compute_forward      | Batch=6 UBatch=0 | Partition=0 Target=True | StartTime=1775109870.561901 | Wall=20.41 ms | CUDA=20.38 ms | ExecWall=20.41 ms | QWait=0.00 ms | SyncWait=18.19 ms | InjectedSleep=0.00 ms | Mem=152.12 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W
[GPU 0] Task=compute_forward      | Batch=6 UBatch=0 | Partition=0 Target=False | StartTime=1775109870.585078 | Wall=2.26 ms | CUDA=2.22 ms | ExecWall=2.25 ms | QWait=0.00 ms | SyncWait=1.31 ms | InjectedSleep=0.00 ms | Mem=446.12 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W
[GPU 0] Task=copy_batch_out       | Batch=6 UBatch=0 | Partition=0 Target=True | StartTime=1775109870.589824 | Wall=0.95 ms | CUDA=0.91 ms | ExecWall=0.95 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=446.12 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W
[GPU 0] Task=copy_batch_out       | Batch=6 UBatch=0 | Partition=0 Target=False | StartTime=1775109870.599312 | Wall=1.86 ms | CUDA=1.82 ms | ExecWall=1.86 ms | QWait=0.01 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=421.49 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W
[GPU 0] Task=copy_grad            | Batch=6 UBatch=0 | Partition=0 Target=False | StartTime=1775109870.581958 | Wall=732.74 ms | CUDA=732.68 ms | ExecWall=0.23 ms | QWait=732.51 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=421.49 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W
[GPU 0] Task=compute_backward     | Batch=6 UBatch=0 | Partition=0 Target=False | StartTime=1775109870.591534 | Wall=734.85 ms | CUDA=734.81 ms | ExecWall=734.85 ms | QWait=0.00 ms | SyncWait=8.25 ms | InjectedSleep=0.00 ms | Mem=127.53 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W
[GPU 0] Task=compute_optimize     | Batch=6 UBatch=0 | Partition=0 Target=False | StartTime=1775109871.331608 | Wall=1.15 ms | CUDA=1.00 ms | ExecWall=1.15 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W

====== Step 7 ======
[GPU 0] Task=copy_batch           | Batch=7 UBatch=0 | Partition=0 Target=True | StartTime=1775109871.323133 | Wall=1.81 ms | CUDA=1.77 ms | ExecWall=1.81 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=231.65 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W
[GPU 0] Task=copy_batch           | Batch=7 UBatch=0 | Partition=0 Target=False | StartTime=1775109871.327788 | Wall=1.40 ms | CUDA=1.37 ms | ExecWall=1.40 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=145.90 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W
[GPU 0] Task=copy_model           | Batch=7 UBatch=0 | Partition=0 Target=True | StartTime=1775109871.335488 | Wall=0.95 ms | CUDA=0.90 ms | ExecWall=0.95 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W
[GPU 0] Task=compute_forward      | Batch=7 UBatch=0 | Partition=0 Target=True | StartTime=1775109871.337357 | Wall=21.64 ms | CUDA=21.61 ms | ExecWall=21.64 ms | QWait=0.00 ms | SyncWait=19.48 ms | InjectedSleep=0.00 ms | Mem=152.12 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W
[GPU 0] Task=copy_model           | Batch=7 UBatch=0 | Partition=0 Target=False | StartTime=1775109871.357463 | Wall=0.54 ms | CUDA=0.50 ms | ExecWall=0.54 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=170.49 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W
[GPU 0] Task=compute_forward      | Batch=7 UBatch=0 | Partition=0 Target=False | StartTime=1775109871.364611 | Wall=4.15 ms | CUDA=4.10 ms | ExecWall=4.14 ms | QWait=0.01 ms | SyncWait=3.12 ms | InjectedSleep=0.00 ms | Mem=446.12 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W
[GPU 0] Task=copy_batch_out       | Batch=7 UBatch=0 | Partition=0 Target=True | StartTime=1775109871.371351 | Wall=1.00 ms | CUDA=0.87 ms | ExecWall=0.99 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=446.12 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W
[GPU 0] Task=copy_batch_out       | Batch=7 UBatch=0 | Partition=0 Target=False | StartTime=1775109871.378602 | Wall=10.70 ms | CUDA=4.49 ms | ExecWall=10.70 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=396.99 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.42/300.00W
[GPU 0] Task=copy_grad            | Batch=7 UBatch=0 | Partition=0 Target=False | StartTime=1775109871.335897 | Wall=773.40 ms | CUDA=772.13 ms | ExecWall=0.00 ms | QWait=1508.78 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=213.28 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.28/300.00W
[GPU 0] Task=compute_backward     | Batch=7 UBatch=0 | Partition=0 Target=False | StartTime=1775109871.371263 | Wall=745.25 ms | CUDA=745.21 ms | ExecWall=745.25 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=127.53 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.28/300.00W
[GPU 0] Task=compute_optimize     | Batch=7 UBatch=0 | Partition=0 Target=False | StartTime=1775109872.124470 | Wall=1.25 ms | CUDA=1.21 ms | ExecWall=1.25 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.28/300.00W

====== Step 8 ======
[GPU 0] Task=copy_batch           | Batch=8 UBatch=0 | Partition=0 Target=True | StartTime=1775109872.114084 | Wall=1.50 ms | CUDA=1.46 ms | ExecWall=1.50 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=127.53 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.28/300.00W
[GPU 0] Task=copy_batch           | Batch=8 UBatch=0 | Partition=0 Target=False | StartTime=1775109872.122258 | Wall=1.29 ms | CUDA=1.17 ms | ExecWall=1.29 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=145.90 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.28/300.00W
[GPU 0] Task=copy_model           | Batch=8 UBatch=0 | Partition=0 Target=True | StartTime=1775109872.128036 | Wall=0.92 ms | CUDA=0.88 ms | ExecWall=0.92 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.28/300.00W
