
====== Step 1 ======
[GPU 0] Task=copy_batch_out       | Batch=6 UBatch=0 | Partition=0 Target=False | StartTime=1774886770.280512 | Wall=23.23 ms | CUDA=2.33 ms | ExecWall=23.22 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=1231.24 MB | MaxMem=1462.80 MB | GpuUtil=48% | Power=217.01/300.00W
[GPU 0] Task=copy_grad            | Batch=6 UBatch=0 | Partition=0 Target=False | StartTime=1774886770.229934 | Wall=659.37 ms | CUDA=659.32 ms | ExecWall=0.00 ms | QWait=1273.59 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=692.78 MB | MaxMem=1462.80 MB | GpuUtil=40% | Power=217.45/300.00W
[GPU 0] Task=compute_backward     | Batch=6 UBatch=0 | Partition=0 Target=False | StartTime=1774886770.271288 | Wall=639.14 ms | CUDA=638.78 ms | ExecWall=639.14 ms | QWait=0.00 ms | SyncWait=17.58 ms | InjectedSleep=0.00 ms | Mem=159.44 MB | MaxMem=1462.80 MB | GpuUtil=40% | Power=217.45/300.00W
[GPU 0] Task=compute_optimize     | Batch=6 UBatch=0 | Partition=0 Target=False | StartTime=1774886770.915253 | Wall=4.69 ms | CUDA=3.81 ms | ExecWall=4.69 ms | QWait=0.00 ms | SyncWait=1.56 ms | InjectedSleep=0.00 ms | Mem=177.23 MB | MaxMem=1462.80 MB | GpuUtil=40% | Power=217.45/300.00W

====== Step 7 ======
[GPU 0] Task=copy_batch           | Batch=7 UBatch=0 | Partition=0 Target=True | StartTime=1774886770.911812 | Wall=2.44 ms | CUDA=1.93 ms | ExecWall=2.44 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=177.82 MB | MaxMem=1462.80 MB | GpuUtil=40% | Power=217.45/300.00W
[GPU 0] Task=copy_model           | Batch=7 UBatch=0 | Partition=0 Target=True | StartTime=1774886770.920998 | Wall=3.02 ms | CUDA=1.94 ms | ExecWall=3.02 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=195.60 MB | MaxMem=1462.80 MB | GpuUtil=40% | Power=217.45/300.00W
[GPU 0] Task=copy_batch           | Batch=7 UBatch=0 | Partition=0 Target=False | StartTime=1774886770.921221 | Wall=2.53 ms | CUDA=1.94 ms | ExecWall=2.53 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=195.60 MB | MaxMem=1462.80 MB | GpuUtil=40% | Power=217.45/300.00W
[GPU 0] Task=compute_forward      | Batch=7 UBatch=0 | Partition=0 Target=True | StartTime=1774886770.925928 | Wall=43.93 ms | CUDA=42.41 ms | ExecWall=43.93 ms | QWait=0.00 ms | SyncWait=40.37 ms | InjectedSleep=0.00 ms | Mem=201.85 MB | MaxMem=1462.80 MB | GpuUtil=41% | Power=215.75/300.00W
