
====== Step 1 ======
[GPU 2] Task=copy_grad            | Batch=5 UBatch=0 | Partition=2 Target=False | StartTime=1775004459.746892 | Wall=745.17 ms | CUDA=742.78 ms | ExecWall=0.00 ms | QWait=1226.83 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=4181.46 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=135.50/300.00W
[GPU 2] Task=copy_grad_out        | Batch=5 UBatch=0 | Partition=2 Target=False | StartTime=1775004458.508380 | Wall=2065.69 ms | CUDA=2065.64 ms | ExecWall=0.96 ms | QWait=2064.74 ms | SyncWait=75.54 ms | InjectedSleep=0.00 ms | Mem=1044.21 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=117.51/300.00W
[GPU 2] Task=compute_backward     | Batch=5 UBatch=0 | Partition=2 Target=False | StartTime=1775004460.005417 | Wall=569.30 ms | CUDA=569.26 ms | ExecWall=569.30 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=750.21 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=117.51/300.00W
[GPU 2] Task=compute_optimize     | Batch=5 UBatch=0 | Partition=2 Target=False | StartTime=1775004460.582067 | Wall=61.31 ms | CUDA=61.26 ms | ExecWall=61.31 ms | QWait=0.00 ms | SyncWait=57.23 ms | InjectedSleep=0.00 ms | Mem=685.28 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=117.51/300.00W

====== Step 6 ======
[GPU 2] Task=copy_model           | Batch=6 UBatch=0 | Partition=2 Target=True | StartTime=1775004460.649700 | Wall=0.98 ms | CUDA=0.94 ms | ExecWall=0.98 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=685.28 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=117.51/300.00W
[GPU 2] Task=copy_model           | Batch=6 UBatch=0 | Partition=2 Target=False | StartTime=1775004460.656611 | Wall=24.89 ms | CUDA=24.84 ms | ExecWall=24.89 ms | QWait=0.00 ms | SyncWait=22.85 ms | InjectedSleep=0.00 ms | Mem=587.28 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=105.17/300.00W
[GPU 2] Task=copy_batch           | Batch=6 UBatch=0 | Partition=2 Target=True | StartTime=1775004460.498410 | Wall=1202.29 ms | CUDA=1202.11 ms | ExecWall=0.38 ms | QWait=1201.90 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=587.78 MB | MaxMem=5341.46 MB | GpuUtil=99% | Power=172.63/300.00W
[GPU 2] Task=compute_forward      | Batch=6 UBatch=0 | Partition=2 Target=True | StartTime=1775004460.656582 | Wall=1295.14 ms | CUDA=1295.10 ms | ExecWall=1295.14 ms | QWait=0.00 ms | SyncWait=245.70 ms | InjectedSleep=0.00 ms | Mem=784.28 MB | MaxMem=5341.46 MB | GpuUtil=86% | Power=161.76/300.00W
[GPU 2] Task=copy_batch           | Batch=6 UBatch=0 | Partition=2 Target=False | StartTime=1775004461.705912 | Wall=246.48 ms | CUDA=246.36 ms | ExecWall=0.11 ms | QWait=246.37 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=685.78 MB | MaxMem=5341.46 MB | GpuUtil=86% | Power=161.76/300.00W
[GPU 2] Task=compute_forward      | Batch=6 UBatch=0 | Partition=2 Target=False | StartTime=1775004461.970414 | Wall=45.35 ms | CUDA=45.31 ms | ExecWall=45.35 ms | QWait=0.00 ms | SyncWait=36.60 ms | InjectedSleep=0.00 ms | Mem=5193.96 MB | MaxMem=5341.46 MB | GpuUtil=29% | Power=154.86/300.00W
[GPU 2] Task=copy_batch_out       | Batch=6 UBatch=0 | Partition=2 Target=True | StartTime=1775004462.021517 | Wall=4.87 ms | CUDA=4.83 ms | ExecWall=4.87 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=5193.96 MB | MaxMem=5341.46 MB | GpuUtil=29% | Power=154.86/300.00W
[GPU 2] Task=copy_batch_out       | Batch=6 UBatch=0 | Partition=2 Target=False | StartTime=1775004462.028869 | Wall=18.46 ms | CUDA=18.42 ms | ExecWall=18.45 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=5095.46 MB | MaxMem=5341.46 MB | GpuUtil=29% | Power=154.86/300.00W
[GPU 2] Task=copy_grad            | Batch=6 UBatch=0 | Partition=2 Target=False | StartTime=1775004461.973264 | Wall=537.79 ms | CUDA=537.76 ms | ExecWall=0.00 ms | QWait=1024.41 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=5095.46 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=140.97/300.00W
[GPU 2] Task=compute_backward     | Batch=6 UBatch=0 | Partition=2 Target=False | StartTime=1775004462.022357 | Wall=572.25 ms | CUDA=572.21 ms | ExecWall=0.00 ms | QWait=2015.05 ms | SyncWait=75.60 ms | InjectedSleep=0.00 ms | Mem=750.21 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=122.98/300.00W
[GPU 2] Task=copy_grad_out        | Batch=6 UBatch=0 | Partition=2 Target=False | StartTime=1775004460.579211 | Wall=2016.94 ms | CUDA=2016.82 ms | ExecWall=2016.94 ms | QWait=0.00 ms | SyncWait=0.02 ms | InjectedSleep=0.00 ms | Mem=750.21 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=122.98/300.00W
[GPU 2] Task=compute_optimize     | Batch=6 UBatch=0 | Partition=2 Target=False | StartTime=1775004462.600503 | Wall=65.76 ms | CUDA=65.73 ms | ExecWall=65.76 ms | QWait=0.00 ms | SyncWait=61.72 ms | InjectedSleep=0.00 ms | Mem=685.28 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=105.57/300.00W

====== Step 7 ======
[GPU 2] Task=copy_model           | Batch=7 UBatch=0 | Partition=2 Target=True | StartTime=1775004462.672869 | Wall=1.07 ms | CUDA=1.04 ms | ExecWall=1.07 ms | QWait=0.00 ms | SyncWait=0.02 ms | InjectedSleep=0.00 ms | Mem=685.28 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=105.57/300.00W
[GPU 2] Task=copy_model           | Batch=7 UBatch=0 | Partition=2 Target=False | StartTime=1775004462.678039 | Wall=26.00 ms | CUDA=25.96 ms | ExecWall=26.00 ms | QWait=0.00 ms | SyncWait=24.00 ms | InjectedSleep=0.00 ms | Mem=685.28 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=105.57/300.00W
[GPU 2] Task=copy_batch           | Batch=7 UBatch=0 | Partition=2 Target=True | StartTime=1775004462.519516 | Wall=1274.78 ms | CUDA=1274.06 ms | ExecWall=0.00 ms | QWait=2389.65 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=685.78 MB | MaxMem=5341.46 MB | GpuUtil=82% | Power=172.37/300.00W
